Date,Close,High,Low,Open,Volume
2010-02-22,19704.712890625,20013.403519006202,19550.36848079971,20013.403519006202,108594
2010-02-23,19961.953125,19961.953125,19293.126178503182,19910.505594011982,256482
2010-02-24,19961.953125,19961.953125,19550.367450904305,19961.953125,344448
2010-02-25,19961.953125,19961.953125,19550.367450904305,19550.367450904305,338706
2010-02-26,20939.474609375,20939.474609375,19653.266308600305,19961.95514319858,384678
2010-03-01,21968.439453125,21968.439453125,20939.472551865252,21814.093242261195,623106
2010-03-02,22740.162109375,22997.40517807999,22380.023983664538,22997.40517807999,355968
2010-03-03,22534.373046875,22843.061874533527,22225.68241048581,22740.16499573713,38466
2010-03-04,22122.783203125,22534.370674988375,21608.300672026257,21608.300672026257,164070
2010-03-05,21196.712890625,22122.78288006362,21196.712890625,22122.78288006362,116118
2010-03-08,21093.818359375,21351.059649646017,20424.98955768584,20424.98955768584,84888
2010-03-09,20888.0234375,21762.645946068576,20476.437757791085,20476.437757791085,38070
2010-03-10,20836.576171875,21093.817451069135,20116.2998666392,20579.33489268087,137340
2010-03-11,20990.919921875,21505.404272920998,20836.575520926457,21453.954933451143,64422
2010-03-12,21402.505859375,21505.402722164297,21299.608996585703,21453.953386404457,190872
2010-03-15,21196.712890625,21608.30035647792,21196.712890625,21608.30035647792,16128
2010-03-16,20167.748046875,21351.05941616636,20167.748046875,20527.886211062345,105588
2010-03-17,19550.369140625,20579.3361278927,19550.369140625,20579.3361278927,25848
2010-03-18,20424.990234375,20424.990234375,19550.369456730834,20064.852054317907,15462
2010-03-19,20579.3359375,20836.57722975435,20064.851544260633,20064.851544260633,13464
2010-03-22,19550.369140625,20785.12988709238,19550.369140625,20785.12988709238,366552
2010-03-23,19601.81640625,20270.645210077502,19550.36887152357,20064.85145371048,78282
2010-03-24,20013.404296875,20270.645592825655,19601.8167763694,19601.8167763694,12564
2010-03-25,19293.12890625,20167.749717817635,19293.12890625,19344.57644451189,35154
2010-03-26,19241.67578125,19601.81390456426,19138.778916198724,19241.67578125,23436
2010-03-29,19447.46875,19704.709998192197,18418.50194850086,18418.50194850086,46782
2010-03-30,19138.78125,19756.162515591725,19035.88437240138,19447.47188279586,28566
2010-03-31,18881.537109375,19447.468946349934,18881.537109375,18881.537109375,27054
2010-04-01,19035.884765625,19293.127869300737,18727.195935183205,18727.195935183205,19368
2010-04-02,19704.712890625,19704.712890625,19035.884100164374,19035.884100164374,57438
2010-04-05,19704.712890625,20064.851052704427,19653.265356926775,19704.712890625,48474
2010-04-06,19756.16015625,19910.504549850328,19498.91708860889,19498.91708860889,14418
2010-04-07,19550.369140625,19756.162899824674,19447.47226102516,19601.816676059578,38376
2010-04-08,19447.46875,19807.606859215146,19447.46875,19807.606859215146,12618
2010-04-09,19447.46875,19756.15933306885,19293.124362830753,19344.57188897705,53604
