feature,out_of_range_pct,feature_set,clipped_at_5sigma_pct
RSI,0.19273812627356582,legacy,
MACD,28.95194879286176,legacy,
MACD_Signal,30.77171464546018,legacy,
MACD_Hist,21.82402250763339,legacy,
BB_Upper,73.67793180855179,legacy,
BB_Lower,74.02993847027513,legacy,
BB_Width,0.40414959116430194,legacy,
ATR,38.922678050004684,legacy,
OBV,68.05243583265641,legacy,
MA5,73.06319571159945,legacy,
MA10,73.48212468215858,legacy,
MA20,74.64060094119831,legacy,
MA50,76.1337967624389,legacy,
Volatility_10d,0.3646746040560757,legacy,
Volatility_30d,1.1323923604212305,legacy,
Momentum_5d,0.16715118328355655,legacy,
Momentum_10d,0.13189863191709997,legacy,
Close_to_MA20,0.13514868891805398,legacy,
Close_to_MA50,0.2045583501231317,legacy,
DayOfWeek,0.0,legacy,
Month,0.0,legacy,
RSI,0.19459238677672103,stationary-v2,0.0
Return_1d,0.06280542662024563,stationary-v2,0.1949836988140321
MACD_Pct,0.30921668030214267,stationary-v2,0.17545197447206395
MACD_Signal_Pct,0.3748812797570177,stationary-v2,0.1611660522762473
MACD_Hist_Pct,0.20907385705929746,stationary-v2,0.13836127575295257
BB_Position,0.10239535490209406,stationary-v2,0.0
BB_Width,0.4425095486572947,stationary-v2,0.4591505482132178
ATR_Pct,0.1288571005161836,stationary-v2,0.298583385941201
OBV_Osc,0.06750271035852255,stationary-v2,0.0018601190476190475
Close_to_MA5,0.0891109741449673,stationary-v2,0.22108429496677492
Close_to_MA10,0.14759658756470642,stationary-v2,0.2085064619551497
Close_to_MA20,0.1372979342603866,stationary-v2,0.21037675438552958
Close_to_MA50,0.25932132565803606,stationary-v2,0.13855630714967315
MA20_Slope,0.288689697716019,stationary-v2,0.15740479388712636
MA50_Slope,0.9348640890775115,stationary-v2,0.009100364014560582
Volatility_10d,0.36899143701679077,stationary-v2,0.4307961173867311
Volatility_30d,1.145277418839997,stationary-v2,0.3667904789494796
Momentum_5d,0.16984534306585067,stationary-v2,0.18973140966260635
Momentum_10d,0.18560121668639712,stationary-v2,0.20838634894839486
DayOfWeek,0.0,stationary-v2,0.0
Month,0.0,stationary-v2,0.0
